样本索引,源视频文件名,预测标签,真实标签,吸吮行为次数,吸吮行为时长(秒),手脚活动次数,手脚活动时长(秒),皱眉次数,皱眉时长(秒),总行为次数,总持续时间(秒)
0,240717(9.03.26）,饥饿,微饿,2,16.0,1,2.0,2,4.0,11,22.0
1,240717(9.03.26）,饥饿,微饿,2,16.0,1,2.0,1,3.0,8,21.0
5,240717(9.03.26）,饥饿,微饿,3,13.0,1,2.0,1,3.0,10,18.0
6,240717(9.03.26）,饥饿,微饿,3,13.0,1,2.0,1,3.0,10,18.0
7,240717(9.03.26）,饥饿,微饿,3,13.0,1,2.0,1,3.0,10,18.0
8,240717(9.03.26）,饥饿,微饿,2,11.0,1,2.0,1,3.0,8,16.0
9,240717(9.03.26）,饥饿,微饿,2,11.0,0,0.0,1,3.0,6,14.0
14,240717(9.03.26）,饥饿,微饿,2,11.0,0,0.0,0,0.0,4,11.0
15,240717(9.03.26）,中性,微饿,0,0.0,0,0.0,0,0.0,0,0.0
16,240717(9.03.26）,中性,微饿,0,0.0,0,0.0,0,0.0,0,0.0
17,240717(9.03.26）,饱腹,微饿,0,0.0,0,0.0,0,0.0,0,0.0
18,240717(9.03.26）,饱腹,微饿,0,0.0,0,0.0,0,0.0,0,0.0
19,240717(9.03.26）,饱腹,微饿,0,0.0,0,0.0,0,0.0,0,0.0
20,240717(9.03.26）,饱腹,微饿,0,0.0,0,0.0,0,0.0,0,0.0
22,240717(9.03.26）,饥饿,微饿,1,1.0,0,0.0,1,15.0,4,16.0
23,240717(9.03.26）,饥饿,微饿,2,4.0,0,0.0,1,15.0,6,19.0
24,240717(9.03.26）,饥饿,微饿,2,4.0,0,0.0,1,15.0,6,19.0
26,240717(9.03.26）,饥饿,微饿,2,4.0,0,0.0,1,15.0,6,19.0
27,240717(9.03.26）,饥饿,微饿,2,4.0,0,0.0,1,15.0,6,19.0
28,240717(9.03.26）,饥饿,微饿,2,4.0,0,0.0,1,15.0,6,19.0
30,240717(9.03.26）,微饿,饥饿,3,14.0,0,0.0,0,0.0,6,14.0
31,240717(9.03.26）,微饿,饥饿,3,14.0,0,0.0,0,0.0,6,14.0
32,240717(9.03.26）,微饿,饥饿,2,13.0,0,0.0,0,0.0,4,13.0
33,240717(9.03.26）,微饿,饥饿,1,10.0,0,0.0,0,0.0,2,10.0
37,240717(9.03.26）,微饿,饥饿,1,10.0,0,0.0,0,0.0,2,10.0
38,240717(9.03.26）,微饿,饥饿,1,10.0,0,0.0,0,0.0,2,10.0
40,240717(9.03.26）,中性,饥饿,0,0.0,0,0.0,0,0.0,0,0.0
41,240717(9.03.26）,中性,饥饿,0,0.0,0,0.0,0,0.0,0,0.0
42,240717(9.03.26）,中性,饥饿,0,0.0,0,0.0,0,0.0,0,0.0
43,240717(9.03.26）,中性,饥饿,0,0.0,0,0.0,0,0.0,0,0.0
44,240717(9.03.26）,中性,饥饿,0,0.0,0,0.0,0,0.0,0,0.0
45,240717(9.03.26）,中性,饥饿,0,0.0,0,0.0,0,0.0,0,0.0
