image_path,caption
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000000.jpg,Image 1 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000001.jpg,Image 2 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000002.jpg,Image 3 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000003.jpg,Image 4 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000004.jpg,Image 5 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000005.jpg,Image 6 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000006.jpg,Image 7 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000007.jpg,Image 8 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000008.jpg,Image 9 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000009.jpg,Image 10 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000010.jpg,Image 11 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000011.jpg,Image 12 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000012.jpg,Image 13 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000013.jpg,Image 14 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000014.jpg,Image 15 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000015.jpg,Image 16 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000016.jpg,Image 17 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000017.jpg,Image 18 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000018.jpg,Image 19 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000019.jpg,Image 20 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000020.jpg,Image 21 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000021.jpg,Image 22 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000022.jpg,Image 23 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000023.jpg,Image 24 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000024.jpg,Image 25 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000025.jpg,Image 26 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000026.jpg,Image 27 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000027.jpg,Image 28 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000028.jpg,Image 29 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000029.jpg,Image 30 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000030.jpg,Image 31 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000031.jpg,Image 32 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000032.jpg,Image 33 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000033.jpg,Image 34 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000034.jpg,Image 35 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000035.jpg,Image 36 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000036.jpg,Image 37 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000037.jpg,Image 38 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000038.jpg,Image 39 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000039.jpg,Image 40 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000040.jpg,Image 41 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000041.jpg,Image 42 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000042.jpg,Image 43 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000043.jpg,Image 44 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000044.jpg,Image 45 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000045.jpg,Image 46 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000046.jpg,Image 47 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000047.jpg,Image 48 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000048.jpg,Image 49 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000049.jpg,Image 50 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000050.jpg,Image 51 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000051.jpg,Image 52 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000052.jpg,Image 53 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000053.jpg,Image 54 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000054.jpg,Image 55 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000055.jpg,Image 56 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000056.jpg,Image 57 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000057.jpg,Image 58 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000058.jpg,Image 59 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000059.jpg,Image 60 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000060.jpg,Image 61 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000061.jpg,Image 62 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000062.jpg,Image 63 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000063.jpg,Image 64 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000064.jpg,Image 65 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000065.jpg,Image 66 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000066.jpg,Image 67 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000067.jpg,Image 68 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000068.jpg,Image 69 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000069.jpg,Image 70 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000070.jpg,Image 71 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000071.jpg,Image 72 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000072.jpg,Image 73 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000073.jpg,Image 74 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000074.jpg,Image 75 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000075.jpg,Image 76 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000076.jpg,Image 77 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000077.jpg,Image 78 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000078.jpg,Image 79 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000079.jpg,Image 80 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000080.jpg,Image 81 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000081.jpg,Image 82 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000082.jpg,Image 83 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000083.jpg,Image 84 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000084.jpg,Image 85 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000085.jpg,Image 86 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000086.jpg,Image 87 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000087.jpg,Image 88 from COCO dataset
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/image_000088.jpg,Image 89 from COCO dataset
