源视频文件名,总样本数,总错误数,总错误率(%),饱腹_总数,饱腹_错误数,饱腹_错误率(%),中性_总数,中性_错误数,中性_错误率(%),微饿_总数,微饿_错误数,微饿_错误率(%),饥饿_总数,饥饿_错误数,饥饿_错误率(%)
2025-01-03 134319,72,65,90.28,12,5,41.67,0,0,0.00,30,30,100.00,30,30,100.00
2024-11-14 140612,99,84,84.85,30,30,100.00,30,30,100.00,9,4,44.44,30,20,66.67
2024-09-10 110740,91,76,83.52,30,29,96.67,30,30,100.00,1,0,0.00,30,17,56.67
2024-12-27 140329,116,95,81.90,30,11,36.67,26,24,92.31,30,30,100.00,30,30,100.00
2025-01-13 135429,98,80,81.63,30,25,83.33,17,4,23.53,21,21,100.00,30,30,100.00
240717（13.00.40）,109,88,80.73,30,30,100.00,28,27,96.43,21,8,38.10,30,23,76.67
2024-12-24 134422,113,91,80.53,30,12,40.00,28,27,96.43,25,24,96.00,30,28,93.33
2024-12-17 135256,112,89,79.46,30,29,96.67,30,29,96.67,22,19,86.36,30,12,40.00
2024-12-18 135914,111,88,79.28,30,28,93.33,30,30,100.00,21,19,90.48,30,11,36.67
2024-12-25 110129,115,91,79.13,30,9,30.00,30,27,90.00,25,25,100.00,30,30,100.00
2024-12-26 135104,109,86,78.90,30,9,30.00,30,29,96.67,19,19,100.00,30,29,96.67
2024-12-06 110804,98,77,78.57,30,30,100.00,30,30,100.00,8,7,87.50,30,10,33.33
2024-12-06 135527,111,87,78.38,30,30,100.00,30,29,96.67,21,18,85.71,30,10,33.33
2024-12-31 104556,115,90,78.26,30,8,26.67,27,24,88.89,28,28,100.00,30,30,100.00
2024-11-20 135807,76,59,77.63,31,31,100.00,12,12,100.00,3,1,33.33,30,15,50.00
2024-10-15 143045,120,93,77.50,30,29,96.67,30,30,100.00,30,13,43.33,30,21,70.00
2024-10-19 231445,120,93,77.50,30,30,100.00,30,30,100.00,30,13,43.33,30,20,66.67
2025-01-14 134951,114,88,77.19,30,27,90.00,30,7,23.33,24,24,100.00,30,30,100.00
2024-12-24 134112,104,80,76.92,30,30,100.00,30,30,100.00,14,12,85.71,30,8,26.67
2024-11-19 134453,112,86,76.79,30,30,100.00,22,21,95.45,30,13,43.33,30,22,73.33
2024-11-28 110616,120,92,76.67,30,29,96.67,30,30,100.00,30,24,80.00,30,9,30.00
2024-12-19 110403,120,92,76.67,30,30,100.00,30,30,100.00,30,26,86.67,30,6,20.00
2024-12-26 135251,110,84,76.36,30,9,30.00,30,26,86.67,20,20,100.00,30,29,96.67
2025-01-17 103640,114,87,76.32,30,26,86.67,27,4,14.81,27,27,100.00,30,30,100.00
2025-02-05 105046,114,87,76.32,30,27,90.00,30,6,20.00,24,24,100.00,30,30,100.00
2024-12-13 134629,108,82,75.93,30,30,100.00,30,29,96.67,18,15,83.33,30,8,26.67
2025-01-16 082641,111,84,75.68,30,25,83.33,30,9,30.00,21,21,100.00,30,29,96.67
