源视频文件名,总样本数,总错误数,总错误率(%),饱腹_总数,饱腹_错误数,饱腹_错误率(%),中性_总数,中性_错误数,中性_错误率(%),微饿_总数,微饿_错误数,微饿_错误率(%),饥饿_总数,饥饿_错误数,饥饿_错误率(%)
2024-09-10 110740,91,62,68.13,30,20,66.67,30,25,83.33,1,1,100.00,30,16,53.33
2025-01-07 102421,119,76,63.87,30,17,56.67,30,23,76.67,29,11,37.93,30,25,83.33
2025-01-02 105826,120,76,63.33,30,18,60.00,30,29,96.67,30,19,63.33,30,10,33.33
2025-01-07 135013,100,63,63.00,30,22,73.33,17,7,41.18,23,17,73.91,30,17,56.67
240717(9.03.26）,104,65,62.50,30,20,66.67,15,7,46.67,29,20,68.97,30,18,60.00
2025-02-05 105046,114,71,62.28,30,21,70.00,30,17,56.67,24,22,91.67,30,11,36.67
2024-12-24 105557,118,72,61.02,30,19,63.33,28,18,64.29,30,25,83.33,30,10,33.33
2024-11-19 134453,112,67,59.82,30,10,33.33,22,6,27.27,30,25,83.33,30,26,86.67
2024-10-15 143045,120,70,58.33,30,15,50.00,30,27,90.00,30,20,66.67,30,8,26.67
张祖善20240905（13:57:31）,95,55,57.89,30,7,23.33,10,7,70.00,25,19,76.00,30,22,73.33
2024-10-16 142455,120,69,57.50,30,1,3.33,30,12,40.00,30,28,93.33,30,28,93.33
2024-12-09 110631,88,50,56.82,30,17,56.67,8,0,0.00,20,10,50.00,30,23,76.67
2024-12-20 110552,97,54,55.67,30,13,43.33,14,14,100.00,23,16,69.57,30,11,36.67
2025-01-03 105339,120,66,55.00,30,1,3.33,30,19,63.33,30,27,90.00,30,19,63.33
2024-11-25 140700,119,65,54.62,30,12,40.00,29,29,100.00,30,11,36.67,30,13,43.33
2024-12-19 135234,99,54,54.55,31,15,48.39,30,28,93.33,8,5,62.50,30,6,20.00
2025-01-10 111030,104,56,53.85,30,11,36.67,30,21,70.00,14,14,100.00,30,10,33.33
2024-11-22 140008,116,62,53.45,30,15,50.00,30,15,50.00,26,11,42.31,30,21,70.00
2024-11-28 110616,120,64,53.33,30,24,80.00,30,0,0.00,30,21,70.00,30,19,63.33
2024-12-16 190348,120,64,53.33,30,9,30.00,30,16,53.33,30,9,30.00,30,30,100.00
2025-01-21 082321,115,60,52.17,30,9,30.00,30,5,16.67,25,17,68.00,30,29,96.67
2024-12-19 110403,120,62,51.67,30,0,0.00,30,30,100.00,30,17,56.67,30,15,50.00
2025-01-03 134416,120,62,51.67,30,19,63.33,30,6,20.00,30,30,100.00,30,7,23.33
2024-12-27 140329,116,59,50.86,30,16,53.33,26,23,88.46,30,9,30.00,30,11,36.67
2025-01-02 105929,109,55,50.46,30,14,46.67,30,13,43.33,19,9,47.37,30,19,63.33
2024-12-13 134629,108,54,50.00,30,13,43.33,30,14,46.67,18,11,61.11,30,16,53.33
